win_ratio,total_accuracy,kill_to_death_ratio,total_wins_per_hour,mvp_per_round,total_headshots_per_round,accuracy_ssg08,accuracy_awp,accuracy_deagle,accuracy_aug,accuracy_scar20,accuracy_m4a1,accuracy_ak47,accuracy_bizon,accuracy_elite,accuracy_famas,accuracy_fiveseven,accuracy_g3sg1,accuracy_galilar,accuracy_glock,accuracy_hkp2000,accuracy_m249,accuracy_mac10,accuracy_mag7,accuracy_mp7,accuracy_mp9,accuracy_negev,accuracy_nova,accuracy_p250,accuracy_p90,accuracy_sawedoff,accuracy_sg556,accuracy_tec9,accuracy_ump45,accuracy_xm1014,total_games_owned,VACBanned
0.53,0.15,1.03,21.34,0.11,0.6,0.29,0.34,0.21,0.17,0.19,0.15,0.15,0.13,0.17,0.2,0.16,0.16,0.15,0.15,0.17,0.1,0.19,0.21,0.19,0.18,0.07,0.2,0.17,0.12,0.17,0.15,0.15,0.16,0.18,119,1
0.53,0.19,1.27,23.53,0.14,0.48,0.32,0.39,0.23,0.22,0.23,0.2,0.19,0.18,0.25,0.22,0.24,0.24,0.18,0.21,0.23,0.12,0.2,0.13,0.21,0.19,0.07,0.2,0.21,0.18,0.13,0.18,0.15,0.19,0.17,54,1
0.6,0.22,1.69,28.81,0.18,1.06,0.42,0.35,0.3,0.27,0.23,0.19,0.15,0.24,0.2,0.21,0.31,1,0.16,0.13,0.2,0.15,0.24,0.22,0.2,0.26,0.05,0.16,0.21,0.17,0.26,0.16,0.18,0.27,0.18,19,1
0.51,0.12,0.97,24.56,0.1,0.35,0.29,0.32,0.17,0.12,0.19,0.14,0.1,0.13,0.18,0.13,0.18,0.11,0.09,0.13,0.14,0.04,0.12,0.14,0.11,0.12,0.03,0.12,0.19,0.12,0.1,0.1,0.11,0.09,0.11,23,1
0.61,0.2,1.97,31.6,0.27,0.92,0.39,0.39,0.26,0.17,0.07,0.2,0.17,0.25,0.3,0.18,0.21,0.25,0.18,0.15,0.19,0.09,0.25,0.2,0.26,0.25,0.08,0.28,0.31,0.19,0.12,0.13,0.25,0.15,0.13,96,1
0.45,0.15,0.81,11.17,0.07,4.11,0.4,0.33,0.25,0.2,0.24,0.15,0.15,0.15,0.21,0.19,0.17,0.25,0.17,0.18,0.18,0.09,0.14,0.13,0.17,0.14,0.09,0.15,0.18,0.16,0.13,0.21,0.18,0.14,0.15,232,1
0.48,0.17,0.92,25.77,0.11,0.31,0.26,0.39,0.2,0.19,0.28,0.19,0.13,0.24,,0.15,0.56,0.21,0.14,0.18,0.17,0.07,,,0.17,,0.02,0.3,0.13,0.29,,0.16,,0.09,0.21,20,1
0.62,0.17,1.71,27.41,0.23,0.83,0.35,0.34,0.21,0.2,0.22,0.16,0.14,0.21,0.3,0.15,0.26,0.24,0.2,0.16,0.15,0.15,0.26,0.22,0.18,0.26,0.07,0.2,0.26,0.18,0.18,0.22,0.33,0.22,0.17,19,1
0.55,0.22,1.93,20.69,0.14,0.85,0.4,0.41,0.25,0.24,0.28,0.23,0.19,0.23,0.24,0.19,0.23,0.24,0.2,0.18,0.21,0.24,0.27,0.23,0.32,0.24,0.2,0.22,0.23,0.21,0.17,0.22,0.23,0.29,0.28,21,1
0.49,0.17,0.92,20.43,0.07,0.38,0.24,0.38,0.19,0.17,0.2,0.19,0.16,0.15,0.45,0.2,0.18,0.16,0.14,0.17,0.2,0.09,0.26,0.21,0.29,0.28,0.04,0.22,0.19,0.16,0.19,0.16,0.13,0.21,0.21,55,1
0.77,0.18,3.52,36.32,0.42,0.58,0.37,0.52,0.29,0.28,0.28,0.21,0.21,0.18,0.17,0.2,0.11,0.23,0.19,0.2,0.27,0.12,0.21,0.15,0.14,0.18,0.08,0.19,0.14,0.19,0.13,0.25,0.13,0.15,0.17,30,1
0.5,0.18,1.13,24.56,0.13,0.35,0.26,0.3,0.21,0.33,0.28,0.19,0.14,0.23,0.21,0.19,0.21,0.19,0.29,0.16,0.19,0.22,0.29,0.2,0.15,0.26,0.12,0.19,0.21,0.13,0.19,0.15,0.22,0.28,0.29,32,1
